"姓名","統率","武力","智力","魅力","運勢","版本","政治","陸指","水指","體力"
"郭圖",NA,43,85,16,85,"三國志1",NA,NA,NA,89
"陳武",NA,70,58,28,75,"三國志1",NA,NA,NA,85
"陳紀",NA,39,26,19,86,"三國志1",NA,NA,NA,81
"陳宮",NA,28,89,33,16,"三國志1",NA,NA,NA,69
"陳珪",NA,15,82,26,67,"三國志1",NA,NA,NA,22
"陳琳",NA,23,83,37,76,"三國志1",NA,NA,NA,65
"陳登",NA,25,73,38,41,"三國志1",NA,NA,NA,65
"陳群",NA,31,95,61,93,"三國志1",NA,NA,NA,73
"陳嬉",NA,64,23,34,44,"三國志1",NA,NA,NA,67
"陳應",NA,57,19,40,68,"三國志1",NA,NA,NA,89
"陳矯",NA,22,80,16,40,"三國志1",NA,NA,NA,98
"陳蘭",NA,66,31,25,90,"三國志1",NA,NA,NA,79
"陸遜",NA,83,93,68,57,"三國志1",NA,NA,NA,89
"陸績",NA,33,68,38,65,"三國志1",NA,NA,NA,78
"陶謙",NA,15,76,75,29,"三國志1",NA,NA,NA,28
"傅士仁",NA,52,25,21,30,"三國志1",NA,NA,NA,69
"傅幹",NA,28,81,20,72,"三國志1",NA,NA,NA,76
"程昱",NA,35,92,44,45,"三國志1",NA,NA,NA,55
"程普",NA,41,84,76,95,"三國志1",NA,NA,NA,74
"程銀",NA,60,41,27,24,"三國志1",NA,NA,NA,79
"華雄",NA,90,29,69,20,"三國志1",NA,NA,NA,78
"華歆",NA,27,72,23,87,"三國志1",NA,NA,NA,65
"費禕",NA,17,79,51,49,"三國志1",NA,NA,NA,71
"黃忠",NA,96,68,80,97,"三國志1",NA,NA,NA,84
"黃祖",NA,64,21,54,91,"三國志1",NA,NA,NA,79
"黃蓋",NA,87,54,56,85,"三國志1",NA,NA,NA,92
"黃權",NA,29,76,29,27,"三國志1",NA,NA,NA,61
"楊奉",NA,61,51,77,58,"三國志1",NA,NA,NA,79
"楊松",NA,53,33,58,55,"三國志1",NA,NA,NA,69
"楊秋",NA,67,36,35,47,"三國志1",NA,NA,NA,87
"楊修",NA,24,96,22,15,"三國志1",NA,NA,NA,61
"楊彪",NA,30,69,34,31,"三國志1",NA,NA,NA,78
"楊儀",NA,23,71,65,42,"三國志1",NA,NA,NA,78
"楊懷",NA,75,45,63,42,"三國志1",NA,NA,NA,76
"董允",NA,20,86,65,79,"三國志1",NA,NA,NA,82
"董卓",NA,91,58,96,61,"三國志1",NA,NA,NA,73
"董旻",NA,41,44,87,71,"三國志1",NA,NA,NA,87
"虞翻",NA,35,81,39,53,"三國志1",NA,NA,NA,74
"賈逵",NA,21,79,47,77,"三國志1",NA,NA,NA,67
"賈詡",NA,19,94,19,89,"三國志1",NA,NA,NA,55
"雍闓",NA,76,49,73,94,"三國志1",NA,NA,NA,73
"雷銅",NA,90,41,47,41,"三國志1",NA,NA,NA,84
"雷薄",NA,67,42,35,62,"三國志1",NA,NA,NA,65
"廖化",NA,51,50,58,82,"三國志1",NA,NA,NA,85
"滿寵",NA,51,55,45,68,"三國志1",NA,NA,NA,82
"趙岑",NA,65,24,28,52,"三國志1",NA,NA,NA,85
"趙雲",NA,99,90,86,96,"三國志1",NA,NA,NA,95
"趙範",NA,53,36,53,66,"三國志1",NA,NA,NA,67
"蒯越",NA,20,88,43,34,"三國志1",NA,NA,NA,74
"劉巴",NA,62,82,46,66,"三國志1",NA,NA,NA,85
"劉永",NA,21,66,37,52,"三國志1",NA,NA,NA,82
"劉岱",NA,67,34,25,67,"三國志1",NA,NA,NA,87
"劉表",NA,46,74,96,25,"三國志1",NA,NA,NA,41
"劉封",NA,43,71,81,96,"三國志1",NA,NA,NA,85
"劉度",NA,40,42,67,56,"三國志1",NA,NA,NA,76
"劉焉",NA,32,84,95,61,"三國志1",NA,NA,NA,57
"劉理",NA,26,83,51,66,"三國志1",NA,NA,NA,76
"劉備",NA,63,95,99,71,"三國志1",NA,NA,NA,85
"劉循",NA,60,45,88,37,"三國志1",NA,NA,NA,87
"劉琦",NA,30,92,84,18,"三國志1",NA,NA,NA,89
"劉琮",NA,78,62,93,60,"三國志1",NA,NA,NA,74
"劉璋",NA,51,70,94,60,"三國志1",NA,NA,NA,74
"劉賢",NA,50,46,58,63,"三國志1",NA,NA,NA,79
"劉曄",NA,25,74,57,24,"三國志1",NA,NA,NA,85
"劉禪",NA,24,34,93,81,"三國志1",NA,NA,NA,71
"劉繇",NA,17,56,43,54,"三國志1",NA,NA,NA,71
"劉璝",NA,50,47,67,49,"三國志1",NA,NA,NA,73
"審配",NA,66,32,78,32,"三國志1",NA,NA,NA,93
"樊稠",NA,84,28,55,91,"三國志1",NA,NA,NA,89
"樂就",NA,40,38,62,20,"三國志1",NA,NA,NA,89
"樂進",NA,53,33,40,53,"三國志1",NA,NA,NA,79
"潘璋",NA,65,29,72,74,"三國志1",NA,NA,NA,87
"蔣欽",NA,78,59,55,55,"三國志1",NA,NA,NA,89
"蔣琬",NA,28,78,66,70,"三國志1",NA,NA,NA,61
"蔣幹",NA,16,73,18,43,"三國志1",NA,NA,NA,78
"蔡中",NA,39,37,18,19,"三國志1",NA,NA,NA,76
"蔡和",NA,37,40,23,19,"三國志1",NA,NA,NA,79
"蔡邕",NA,16,91,15,16,"三國志1",NA,NA,NA,32
"蔡瑁",NA,79,77,79,95,"三國志1",NA,NA,NA,87
"諸葛亮",NA,72,100,97,84,"三國志1",NA,NA,NA,69
"諸葛瑾",NA,20,94,70,70,"三國志1",NA,NA,NA,84
"鄧芝",NA,34,85,30,38,"三國志1",NA,NA,NA,90
"鄧賢",NA,33,59,30,30,"三國志1",NA,NA,NA,74
"鞏志",NA,32,65,52,93,"三國志1",NA,NA,NA,71
"魯肅",NA,42,95,76,58,"三國志1",NA,NA,NA,89
"閻圃",NA,30,65,30,64,"三國志1",NA,NA,NA,65
"鮑信",NA,38,16,16,17,"三國志1",NA,NA,NA,74
"鮑隆",NA,45,27,27,32,"三國志1",NA,NA,NA,85
"糜竺",NA,34,76,52,77,"三國志1",NA,NA,NA,88
"糜芳",NA,85,39,36,65,"三國志1",NA,NA,NA,93
"薛綜",NA,32,50,23,62,"三國志1",NA,NA,NA,53
"鍾進",NA,57,22,31,31,"三國志1",NA,NA,NA,82
"鍾繇",NA,16,80,43,36,"三國志1",NA,NA,NA,61
"韓玄",NA,31,72,86,74,"三國志1",NA,NA,NA,81
"韓浩",NA,64,23,34,44,"三國志1",NA,NA,NA,67
"韓當",NA,54,47,59,49,"三國志1",NA,NA,NA,82
"韓遂",NA,69,57,31,33,"三國志1",NA,NA,NA,71
"韓暹",NA,47,19,62,73,"三國志1",NA,NA,NA,74
"簡雍",NA,22,75,29,35,"三國志1",NA,NA,NA,76
"顏良",NA,89,21,64,27,"三國志1",NA,NA,NA,89
"魏延",NA,94,41,69,73,"三國志1",NA,NA,NA,89
"魏續",NA,74,33,41,54,"三國志1",NA,NA,NA,65
"龐統",NA,71,98,78,23,"三國志1",NA,NA,NA,74
"龐德",NA,87,44,71,32,"三國志1",NA,NA,NA,88
"譙周",NA,43,67,39,68,"三國志1",NA,NA,NA,85
"關平",NA,77,53,79,59,"三國志1",NA,NA,NA,93
"關羽",NA,99,83,80,39,"三國志1",NA,NA,NA,96
"關索",NA,91,57,74,83,"三國志1",NA,NA,NA,87
"關興",NA,77,53,49,73,"三國志1",NA,NA,NA,82
"嚴畯",NA,34,61,27,51,"三國志1",NA,NA,NA,81
"嚴顏",NA,88,70,32,76,"三國志1",NA,NA,NA,85
"闞澤",NA,35,65,52,39,"三國志1",NA,NA,NA,53
"顧雍",NA,23,75,66,94,"三國志1",NA,NA,NA,71
"丁奉",NA,44,72,67,NA,"三國志2",NA,NA,NA,NA
"于禁",NA,55,53,40,NA,"三國志2",NA,NA,NA,NA
"尹默",NA,11,62,31,NA,"三國志2",NA,NA,NA,NA
"公孫淵",NA,84,71,63,NA,"三國志2",NA,NA,NA,NA
"公孫越",NA,63,49,65,NA,"三國志2",NA,NA,NA,NA
"公孫瓚",NA,75,70,72,NA,"三國志2",NA,NA,NA,NA
"太史慈",NA,95,68,71,NA,"三國志2",NA,NA,NA,NA
"孔融",NA,35,82,87,NA,"三國志2",NA,NA,NA,NA
"文欽",NA,81,27,59,NA,"三國志2",NA,NA,NA,NA
"文聘",NA,84,21,44,NA,"三國志2",NA,NA,NA,NA
"文醜",NA,91,18,57,NA,"三國志2",NA,NA,NA,NA
"毛玠",NA,52,47,53,NA,"三國志2",NA,NA,NA,NA
"牛金",NA,86,33,54,NA,"三國志2",NA,NA,NA,NA
"王平",NA,73,49,80,NA,"三國志2",NA,NA,NA,NA
"王伉",NA,55,53,62,NA,"三國志2",NA,NA,NA,NA
"王匡",NA,45,33,43,NA,"三國志2",NA,NA,NA,NA
"王忠",NA,52,34,53,NA,"三國志2",NA,NA,NA,NA
"王威",NA,70,32,62,NA,"三國志2",NA,NA,NA,NA
"王修",NA,40,50,64,NA,"三國志2",NA,NA,NA,NA
"王朗",NA,48,60,48,NA,"三國志2",NA,NA,NA,NA
"王累",NA,19,82,74,NA,"三國志2",NA,NA,NA,NA
"王楷",NA,31,58,24,NA,"三國志2",NA,NA,NA,NA
"王粲",NA,29,85,70,NA,"三國志2",NA,NA,NA,NA
"王雙",NA,89,18,22,NA,"三國志2",NA,NA,NA,NA
"毌丘儉",NA,90,51,55,NA,"三國志2",NA,NA,NA,NA
"司馬昭",NA,65,88,70,NA,"三國志2",NA,NA,NA,NA
"司馬師",NA,66,89,82,NA,"三國志2",NA,NA,NA,NA
"司馬懿",NA,67,98,93,NA,"三國志2",NA,NA,NA,NA
"甘寧",NA,92,51,52,NA,"三國志2",NA,NA,NA,NA
"田豐",NA,46,90,78,NA,"三國志2",NA,NA,NA,NA
"伊籍",NA,27,81,88,NA,"三國志2",NA,NA,NA,NA
"全琮",NA,52,27,67,NA,"三國志2",NA,NA,NA,NA
"向寵",NA,85,41,70,NA,"三國志2",NA,NA,NA,NA
"成宜",NA,61,35,38,NA,"三國志2",NA,NA,NA,NA
"朱治",NA,44,43,45,NA,"三國志2",NA,NA,NA,NA
"朱桓",NA,82,76,80,NA,"三國志2",NA,NA,NA,NA
"朱然",NA,78,33,65,NA,"三國志2",NA,NA,NA,NA
"朱褒",NA,73,13,18,NA,"三國志2",NA,NA,NA,NA
"朱靈",NA,75,39,40,NA,"三國志2",NA,NA,NA,NA
"朵思大王",NA,53,66,36,NA,"三國志2",NA,NA,NA,NA
"冷苞",NA,67,25,52,NA,"三國志2",NA,NA,NA,NA
"吳班",NA,60,45,53,NA,"三國志2",NA,NA,NA,NA
"吳蘭",NA,86,49,53,NA,"三國志2",NA,NA,NA,NA
"吳懿",NA,73,58,70,NA,"三國志2",NA,NA,NA,NA
"呂公",NA,36,46,62,NA,"三國志2",NA,NA,NA,NA
"呂布",NA,100,25,15,NA,"三國志2",NA,NA,NA,NA
"呂建",NA,66,53,55,NA,"三國志2",NA,NA,NA,NA
"呂虔",NA,73,25,60,NA,"三國志2",NA,NA,NA,NA
"呂常",NA,68,33,46,NA,"三國志2",NA,NA,NA,NA
"呂凱",NA,45,77,70,NA,"三國志2",NA,NA,NA,NA
"呂翔",NA,78,22,47,NA,"三國志2",NA,NA,NA,NA
"呂義",NA,33,60,59,NA,"三國志2",NA,NA,NA,NA
"呂蒙",NA,83,86,86,NA,"三國志2",NA,NA,NA,NA
"呂範",NA,28,77,74,NA,"三國志2",NA,NA,NA,NA
"呂曠",NA,78,23,51,NA,"三國志2",NA,NA,NA,NA
"呂霸",NA,73,81,77,NA,"三國志2",NA,NA,NA,NA
"宋忠",NA,32,39,57,NA,"三國志2",NA,NA,NA,NA
"宋憲",NA,57,43,38,NA,"三國志2",NA,NA,NA,NA
"宋謙",NA,66,31,51,NA,"三國志2",NA,NA,NA,NA
"李典",NA,56,40,45,NA,"三國志2",NA,NA,NA,NA
"李恢",NA,39,90,80,NA,"三國志2",NA,NA,NA,NA
"李珪",NA,29,63,73,NA,"三國志2",NA,NA,NA,NA
"李異",NA,80,29,33,NA,"三國志2",NA,NA,NA,NA
"李通",NA,69,57,59,NA,"三國志2",NA,NA,NA,NA
"李堪",NA,53,38,30,NA,"三國志2",NA,NA,NA,NA
"李肅",NA,53,47,44,NA,"三國志2",NA,NA,NA,NA
"李傕",NA,50,41,40,NA,"三國志2",NA,NA,NA,NA
"李儒",NA,27,91,43,NA,"三國志2",NA,NA,NA,NA
"李豐",NA,69,33,41,NA,"三國志2",NA,NA,NA,NA
"李嚴",NA,76,65,75,NA,"三國志2",NA,NA,NA,NA
"杜襲",NA,67,61,56,NA,"三國志2",NA,NA,NA,NA
"步騭",NA,27,75,75,NA,"三國志2",NA,NA,NA,NA
"沙摩柯",NA,83,22,24,NA,"三國志2",NA,NA,NA,NA
"辛毗",NA,48,78,81,NA,"三國志2",NA,NA,NA,NA
"辛評",NA,71,63,67,NA,"三國志2",NA,NA,NA,NA
"邢道榮",NA,80,29,62,NA,"三國志2",NA,NA,NA,NA
"典韋",NA,97,31,52,NA,"三國志2",NA,NA,NA,NA
"典滿",NA,80,26,49,NA,"三國志2",NA,NA,NA,NA
"周倉",NA,87,31,55,NA,"三國志2",NA,NA,NA,NA
"周泰",NA,85,52,70,NA,"三國志2",NA,NA,NA,NA
"周瑜",NA,78,97,95,NA,"三國志2",NA,NA,NA,NA
"周魴",NA,51,78,66,NA,"三國志2",NA,NA,NA,NA
"孟達",NA,72,71,65,NA,"三國志2",NA,NA,NA,NA
"孟優",NA,82,10,13,NA,"三國志2",NA,NA,NA,NA
"孟獲",NA,89,20,39,NA,"三國志2",NA,NA,NA,NA
"尚舉",NA,20,72,54,NA,"三國志2",NA,NA,NA,NA
"武安國",NA,68,20,17,NA,"三國志2",NA,NA,NA,NA
"法正",NA,53,86,78,NA,"三國志2",NA,NA,NA,NA
"沮授",NA,61,84,76,NA,"三國志2",NA,NA,NA,NA
"金旋",NA,43,29,37,NA,"三國志2",NA,NA,NA,NA
"金環三結",NA,57,13,14,NA,"三國志2",NA,NA,NA,NA
"阿會喃",NA,73,12,10,NA,"三國志2",NA,NA,NA,NA
"侯成",NA,66,40,46,NA,"三國志2",NA,NA,NA,NA
"侯選",NA,71,34,58,NA,"三國志2",NA,NA,NA,NA
"姜維",NA,91,94,88,NA,"三國志2",NA,NA,NA,NA
"紀靈",NA,62,31,55,NA,"三國志2",NA,NA,NA,NA
"胡軫",NA,40,24,38,NA,"三國志2",NA,NA,NA,NA
"范疆",NA,41,37,26,NA,"三國志2",NA,NA,NA,NA
"凌統",NA,83,67,73,NA,"三國志2",NA,NA,NA,NA
"凌操",NA,82,28,51,NA,"三國志2",NA,NA,NA,NA
"夏侯和",NA,70,82,73,NA,"三國志2",NA,NA,NA,NA
"夏侯尚",NA,69,62,68,NA,"三國志2",NA,NA,NA,NA
"夏侯威",NA,74,75,73,NA,"三國志2",NA,NA,NA,NA
"夏侯恩",NA,63,65,72,NA,"三國志2",NA,NA,NA,NA
"夏侯惇",NA,93,59,71,NA,"三國志2",NA,NA,NA,NA
"夏侯淵",NA,90,60,71,NA,"三國志2",NA,NA,NA,NA
"夏侯惠",NA,53,84,80,NA,"三國志2",NA,NA,NA,NA
"夏侯楙",NA,39,32,24,NA,"三國志2",NA,NA,NA,NA
"夏侯德",NA,68,55,61,NA,"三國志2",NA,NA,NA,NA
"夏侯霸",NA,89,55,73,NA,"三國志2",NA,NA,NA,NA
"孫和",NA,39,37,79,NA,"三國志2",NA,NA,NA,NA
"孫亮",NA,28,55,86,NA,"三國志2",NA,NA,NA,NA
"孫桓",NA,56,47,63,NA,"三國志2",NA,NA,NA,NA
"孫乾",NA,37,78,91,NA,"三國志2",NA,NA,NA,NA
"孫堅",NA,90,87,89,NA,"三國志2",NA,NA,NA,NA
"孫翊",NA,81,41,40,NA,"三國志2",NA,NA,NA,NA
"孫登",NA,38,39,80,NA,"三國志2",NA,NA,NA,NA
"孫策",NA,94,88,93,NA,"三國志2",NA,NA,NA,NA
"孫瑜",NA,62,53,71,NA,"三國志2",NA,NA,NA,NA
"孫禮",NA,72,71,57,NA,"三國志2",NA,NA,NA,NA
"孫權",NA,87,89,98,NA,"三國志2",NA,NA,NA,NA
"徐晃",NA,92,45,68,NA,"三國志2",NA,NA,NA,NA
"徐商",NA,63,54,48,NA,"三國志2",NA,NA,NA,NA
"徐庶",NA,64,96,85,NA,"三國志2",NA,NA,NA,NA
"徐盛",NA,64,74,68,NA,"三國志2",NA,NA,NA,NA
"徐榮",NA,41,35,38,NA,"三國志2",NA,NA,NA,NA
"桓階",NA,40,41,52,NA,"三國志2",NA,NA,NA,NA
"荀攸",NA,41,94,72,NA,"三國志2",NA,NA,NA,NA
"荀彧",NA,39,97,89,NA,"三國志2",NA,NA,NA,NA
"袁尚",NA,68,64,52,NA,"三國志2",NA,NA,NA,NA
"袁胤",NA,27,59,74,NA,"三國志2",NA,NA,NA,NA
"袁紹",NA,81,70,70,NA,"三國志2",NA,NA,NA,NA
"袁術",NA,80,69,50,NA,"三國志2",NA,NA,NA,NA
"袁熙",NA,60,63,50,NA,"三國志2",NA,NA,NA,NA
"袁譚",NA,57,55,52,NA,"三國志2",NA,NA,NA,NA
"郝昭",NA,84,71,81,NA,"三國志2",NA,NA,NA,NA
"郝萌",NA,47,51,67,NA,"三國志2",NA,NA,NA,NA
"馬休",NA,52,46,50,NA,"三國志2",NA,NA,NA,NA
"馬良",NA,43,91,83,NA,"三國志2",NA,NA,NA,NA
"馬岱",NA,83,49,54,NA,"三國志2",NA,NA,NA,NA
"馬延",NA,64,41,51,NA,"三國志2",NA,NA,NA,NA
"馬忠",NA,56,52,53,NA,"三國志2",NA,NA,NA,NA
"馬玩",NA,52,23,26,NA,"三國志2",NA,NA,NA,NA
"馬超",NA,98,42,60,NA,"三國志2",NA,NA,NA,NA
"馬謖",NA,75,80,70,NA,"三國志2",NA,NA,NA,NA
"馬騰",NA,95,54,87,NA,"三國志2",NA,NA,NA,NA
"馬鐵",NA,60,36,51,NA,"三國志2",NA,NA,NA,NA
"高沛",NA,53,40,52,NA,"三國志2",NA,NA,NA,NA
